date,name,grade
1978-05-31,Nidoran,42
1978-05-31,Shellder,37
1978-05-31,Golem,26
1978-05-31,Kangaskhan,75
1978-05-31,Persian,75
1978-05-31,Snorlax,34
1978-05-31,Magikarp,77
1978-05-31,Moltres,62
1978-05-31,Ivysaur,68
2014-03-27,Dragonair,63
2014-03-27,Nidoran,93
2014-03-27,Shellder,100
2014-03-27,Golem,84
2014-03-27,Kangaskhan,76
2014-03-27,Persian,24
2014-03-27,Snorlax,38
2014-03-27,Magikarp,79
2014-03-27,Moltres,81
2014-03-27,Ivysaur,100
1985-10-02,Dragonair,97
1985-10-02,Nidoran,63
1985-10-02,Shellder,42
1985-10-02,Golem,54
1985-10-02,Kangaskhan,76
1985-10-02,Persian,69
1985-10-02,Snorlax,63
1985-10-02,Magikarp,7
1985-10-02,Moltres,8
1985-10-02,Ivysaur,75
2015-11-06,Dragonair,34
2015-11-06,Nidoran,22
2015-11-06,Shellder,57
2015-11-06,Golem,76
2015-11-06,Kangaskhan,40
2015-11-06,Persian,50
2015-11-06,Snorlax,56
2015-11-06,Magikarp,13
2015-11-06,Moltres,38
2015-11-06,Ivysaur,9
1978-05-06,Dragonair,48
1978-05-06,Nidoran,95
1978-05-06,Shellder,19
1978-05-06,Golem,24
1978-05-06,Kangaskhan,11
1978-05-06,Persian,42
1978-05-06,Snorlax,73
1978-05-06,Magikarp,57
1978-05-06,Moltres,12
1978-05-06,Ivysaur,42
1970-03-10,Dragonair,60
1970-03-10,Nidoran,59
1970-03-10,Shellder,3
1970-03-10,Golem,44
1970-03-10,Kangaskhan,31
1970-03-10,Persian,46
1970-03-10,Snorlax,11
1970-03-10,Magikarp,31
1970-03-10,Moltres,32
1970-03-10,Ivysaur,46
2015-01-30,Dragonair,10
2015-01-30,Nidoran,75
2015-01-30,Shellder,36
2015-01-30,Golem,91
2015-01-30,Kangaskhan,34
2015-01-30,Persian,56
2015-01-30,Snorlax,54
2015-01-30,Magikarp,25
2015-01-30,Moltres,62
2015-01-30,Ivysaur,36
1983-02-02,Dragonair,2
1983-02-02,Nidoran,93
1983-02-02,Shellder,73
1983-02-02,Golem,83
1983-02-02,Kangaskhan,34
1983-02-02,Persian,82
1983-02-02,Snorlax,89
1983-02-02,Magikarp,2
1983-02-02,Moltres,73
1983-02-02,Ivysaur,31
2020-09-18,Dragonair,43
2020-09-18,Nidoran,24
2020-09-18,Shellder,25
2020-09-18,Golem,1
2020-09-18,Kangaskhan,84
2020-09-18,Persian,74
2020-09-18,Snorlax,48
2020-09-18,Magikarp,55
2020-09-18,Moltres,17
2020-09-18,Ivysaur,67
2002-11-16,Dragonair,6
2002-11-16,Nidoran,37
2002-11-16,Shellder,79
2002-11-16,Golem,13
2002-11-16,Kangaskhan,54
2002-11-16,Persian,98
2002-11-16,Snorlax,79
2002-11-16,Magikarp,99
2002-11-16,Moltres,60
2002-11-16,Ivysaur,16
1979-12-11,Dragonair,74
1979-12-11,Nidoran,5
1979-12-11,Shellder,80
1979-12-11,Golem,11
1979-12-11,Kangaskhan,14
1979-12-11,Persian,94
1979-12-11,Snorlax,11
1979-12-11,Magikarp,21
1979-12-11,Moltres,71
1979-12-11,Ivysaur,67
2001-03-07,Dragonair,73
2001-03-07,Nidoran,64
2001-03-07,Shellder,92
2001-03-07,Golem,84
2001-03-07,Kangaskhan,24
2001-03-07,Persian,75
2001-03-07,Snorlax,92
2001-03-07,Magikarp,3
2001-03-07,Moltres,74
2001-03-07,Ivysaur,1
1986-05-22,Dragonair,59
1986-05-22,Nidoran,78
1986-05-22,Shellder,33
1986-05-22,Golem,88
1986-05-22,Kangaskhan,15
1986-05-22,Persian,10
1986-05-22,Snorlax,11
1986-05-22,Magikarp,10
1986-05-22,Moltres,24
1986-05-22,Ivysaur,54
2018-02-22,Dragonair,98
2018-02-22,Nidoran,59
2018-02-22,Shellder,49
2018-02-22,Golem,2
2018-02-22,Kangaskhan,24
2018-02-22,Persian,89
2018-02-22,Snorlax,13
2018-02-22,Magikarp,1
2018-02-22,Moltres,32
2018-02-22,Ivysaur,60
1990-07-29,Dragonair,2
1990-07-29,Nidoran,54
1990-07-29,Shellder,56
1990-07-29,Golem,16
1990-07-29,Kangaskhan,75
1990-07-29,Persian,39
1990-07-29,Snorlax,38
1990-07-29,Magikarp,71
1990-07-29,Moltres,61
1990-07-29,Ivysaur,33
1977-10-13,Dragonair,27
1977-10-13,Nidoran,100
1977-10-13,Shellder,17
1977-10-13,Golem,19
1977-10-13,Kangaskhan,53
1977-10-13,Persian,63
1977-10-13,Snorlax,52
1977-10-13,Magikarp,86
1977-10-13,Moltres,86
1977-10-13,Ivysaur,78
1983-02-24,Dragonair,19
1983-02-24,Nidoran,67
1983-02-24,Shellder,44
1983-02-24,Golem,97
1983-02-24,Kangaskhan,27
1983-02-24,Persian,86
1983-02-24,Snorlax,100
1983-02-24,Magikarp,55
1983-02-24,Moltres,90
1983-02-24,Ivysaur,87
1981-03-09,Dragonair,48
1981-03-09,Nidoran,96
1981-03-09,Shellder,37
1981-03-09,Golem,13
1981-03-09,Kangaskhan,66
1981-03-09,Persian,6
1981-03-09,Snorlax,22
1981-03-09,Magikarp,55
1981-03-09,Moltres,86
1981-03-09,Ivysaur,97
1980-07-31,Dragonair,36
1980-07-31,Nidoran,74
1980-07-31,Shellder,26
1980-07-31,Golem,76
1980-07-31,Kangaskhan,52
1980-07-31,Persian,32
1980-07-31,Snorlax,3
1980-07-31,Magikarp,9
1980-07-31,Moltres,7
1980-07-31,Ivysaur,72
2004-09-16,Dragonair,26
2004-09-16,Nidoran,70
2004-09-16,Shellder,76
2004-09-16,Golem,1
2004-09-16,Kangaskhan,6
2004-09-16,Persian,17
2004-09-16,Snorlax,34
2004-09-16,Magikarp,66
2004-09-16,Moltres,61
2004-09-16,Ivysaur,14
1993-11-08,Dragonair,20
1993-11-08,Nidoran,16
1993-11-08,Shellder,70
1993-11-08,Golem,50
1993-11-08,Kangaskhan,6
1993-11-08,Persian,48
1993-11-08,Snorlax,4
1993-11-08,Magikarp,69
1993-11-08,Moltres,58
1993-11-08,Ivysaur,13
1994-10-28,Dragonair,92
1994-10-28,Nidoran,3
1994-10-28,Shellder,100
1994-10-28,Golem,38
1994-10-28,Kangaskhan,50
1994-10-28,Persian,23
1994-10-28,Snorlax,63
1994-10-28,Magikarp,60
1994-10-28,Moltres,52
1994-10-28,Ivysaur,31
1982-06-09,Dragonair,2
1982-06-09,Nidoran,73
1982-06-09,Shellder,92
1982-06-09,Golem,64
1982-06-09,Kangaskhan,62
1982-06-09,Persian,67
1982-06-09,Snorlax,16
1982-06-09,Magikarp,66
1982-06-09,Moltres,5
1982-06-09,Ivysaur,28
1997-01-14,Dragonair,46
1997-01-14,Nidoran,4
1997-01-14,Shellder,32
1997-01-14,Golem,15
1997-01-14,Kangaskhan,0
1997-01-14,Persian,91
1997-01-14,Snorlax,58
1997-01-14,Magikarp,23
1997-01-14,Moltres,98
1997-01-14,Ivysaur,94
1984-12-26,Dragonair,75
1984-12-26,Nidoran,6
1984-12-26,Shellder,55
1984-12-26,Golem,99
1984-12-26,Kangaskhan,67
1984-12-26,Persian,19
1984-12-26,Snorlax,26
1984-12-26,Magikarp,64
1984-12-26,Moltres,86
1984-12-26,Ivysaur,11
1986-04-04,Dragonair,98
1986-04-04,Nidoran,82
1986-04-04,Shellder,15
1986-04-04,Golem,19
1986-04-04,Kangaskhan,19
1986-04-04,Persian,53
1986-04-04,Snorlax,99
1986-04-04,Magikarp,97
1986-04-04,Moltres,50
1986-04-04,Ivysaur,84
1976-12-22,Dragonair,9
1976-12-22,Nidoran,74
1976-12-22,Shellder,34
1976-12-22,Golem,77
1976-12-22,Kangaskhan,78
1976-12-22,Persian,22
1976-12-22,Snorlax,64
1976-12-22,Magikarp,95
1976-12-22,Moltres,75
1976-12-22,Ivysaur,88
1986-10-30,Dragonair,4
1986-10-30,Nidoran,13
1986-10-30,Shellder,24
1986-10-30,Golem,14
1986-10-30,Kangaskhan,77
1986-10-30,Persian,12
1986-10-30,Snorlax,93
1986-10-30,Magikarp,2
1986-10-30,Moltres,16
1986-10-30,Ivysaur,58
1977-05-31,Dragonair,88
1977-05-31,Nidoran,11
1977-05-31,Shellder,90
1977-05-31,Golem,3
1977-05-31,Kangaskhan,100
1977-05-31,Persian,74
1977-05-31,Snorlax,21
1977-05-31,Magikarp,15
1977-05-31,Moltres,18
1977-05-31,Ivysaur,29
1982-12-24,Dragonair,27
1982-12-24,Nidoran,8
1982-12-24,Shellder,97
1982-12-24,Golem,23
1982-12-24,Kangaskhan,16
1982-12-24,Persian,52
1982-12-24,Snorlax,8
1982-12-24,Magikarp,60
1982-12-24,Moltres,87
1982-12-24,Ivysaur,86
1984-01-10,Dragonair,66
1984-01-10,Nidoran,71
1984-01-10,Shellder,85
1984-01-10,Golem,64
1984-01-10,Kangaskhan,90
1984-01-10,Persian,5
1984-01-10,Snorlax,9
1984-01-10,Magikarp,47
1984-01-10,Moltres,35
1984-01-10,Ivysaur,64
1970-08-02,Dragonair,41
1970-08-02,Nidoran,20
1970-08-02,Shellder,3
1970-08-02,Golem,95
1970-08-02,Kangaskhan,23
1970-08-02,Persian,72
1970-08-02,Snorlax,33
1970-08-02,Magikarp,35
1970-08-02,Moltres,1
1970-08-02,Ivysaur,94
1998-04-24,Dragonair,23
1998-04-24,Nidoran,43
1998-04-24,Shellder,52
1998-04-24,Golem,91
1998-04-24,Kangaskhan,49
1998-04-24,Persian,15
1998-04-24,Snorlax,32
1998-04-24,Magikarp,93
1998-04-24,Moltres,27
1998-04-24,Ivysaur,58
2016-10-07,Dragonair,64
2016-10-07,Nidoran,5
2016-10-07,Shellder,25
2016-10-07,Golem,98
2016-10-07,Kangaskhan,16
2016-10-07,Persian,99
2016-10-07,Snorlax,5
2016-10-07,Magikarp,16
2016-10-07,Moltres,42
2016-10-07,Ivysaur,84
2014-08-16,Dragonair,33
2014-08-16,Nidoran,3
2014-08-16,Shellder,88
2014-08-16,Golem,76
2014-08-16,Kangaskhan,56
2014-08-16,Persian,88
2014-08-16,Snorlax,49
2014-08-16,Magikarp,14
2014-08-16,Moltres,33
2014-08-16,Ivysaur,82
2000-02-23,Dragonair,12
2000-02-23,Nidoran,44
2000-02-23,Shellder,100
2000-02-23,Golem,99
2000-02-23,Kangaskhan,30
2000-02-23,Persian,92
2000-02-23,Snorlax,48
2000-02-23,Magikarp,85
2000-02-23,Moltres,23
2000-02-23,Ivysaur,70
2008-08-02,Dragonair,60
2008-08-02,Nidoran,8
2008-08-02,Shellder,76
2008-08-02,Golem,66
2008-08-02,Kangaskhan,78
2008-08-02,Persian,89
2008-08-02,Snorlax,60
2008-08-02,Magikarp,84
2008-08-02,Moltres,25
2008-08-02,Ivysaur,67
1981-12-04,Dragonair,11
1981-12-04,Nidoran,71
1981-12-04,Shellder,49
1981-12-04,Golem,58
1981-12-04,Kangaskhan,69
1981-12-04,Persian,26
1981-12-04,Snorlax,38
1981-12-04,Magikarp,37
1981-12-04,Moltres,60
1981-12-04,Ivysaur,9
2003-06-08,Dragonair,2
2003-06-08,Nidoran,23
2003-06-08,Shellder,22
2003-06-08,Golem,88
2003-06-08,Kangaskhan,40
2003-06-08,Persian,31
2003-06-08,Snorlax,24
2003-06-08,Magikarp,90
2003-06-08,Moltres,40
2003-06-08,Ivysaur,37
2018-05-05,Dragonair,45
2018-05-05,Nidoran,38
2018-05-05,Shellder,87
2018-05-05,Golem,74
2018-05-05,Kangaskhan,5
2018-05-05,Persian,39
2018-05-05,Snorlax,79
2018-05-05,Magikarp,64
2018-05-05,Moltres,81
2018-05-05,Ivysaur,24
2011-10-20,Dragonair,55
2011-10-20,Nidoran,42
2011-10-20,Shellder,65
2011-10-20,Golem,65
2011-10-20,Kangaskhan,13
2011-10-20,Persian,57
2011-10-20,Snorlax,57
2011-10-20,Magikarp,60
2011-10-20,Moltres,68
2011-10-20,Ivysaur,19
1977-03-10,Dragonair,95
1977-03-10,Nidoran,62
1977-03-10,Shellder,47
1977-03-10,Golem,89
1977-03-10,Kangaskhan,27
1977-03-10,Persian,41
1977-03-10,Snorlax,18
1977-03-10,Magikarp,45
1977-03-10,Moltres,87
1977-03-10,Ivysaur,57
1991-06-27,Dragonair,42
1991-06-27,Nidoran,84
1991-06-27,Shellder,99
1991-06-27,Golem,92
1991-06-27,Kangaskhan,99
1991-06-27,Persian,24
1991-06-27,Snorlax,92
1991-06-27,Magikarp,16
1991-06-27,Moltres,16
1991-06-27,Ivysaur,33
1974-01-26,Dragonair,28
1974-01-26,Nidoran,89
1974-01-26,Shellder,41
1974-01-26,Golem,14
1974-01-26,Kangaskhan,33
1974-01-26,Persian,59
1974-01-26,Snorlax,41
1974-01-26,Magikarp,57
1974-01-26,Moltres,69
1974-01-26,Ivysaur,68
2010-02-01,Dragonair,96
2010-02-01,Nidoran,3
2010-02-01,Shellder,12
2010-02-01,Golem,82
2010-02-01,Kangaskhan,14
2010-02-01,Persian,20
2010-02-01,Snorlax,69
2010-02-01,Magikarp,35
2010-02-01,Moltres,66
2010-02-01,Ivysaur,65
2002-01-25,Dragonair,33
2002-01-25,Nidoran,59
2002-01-25,Shellder,18
2002-01-25,Golem,93
2002-01-25,Kangaskhan,25
2002-01-25,Persian,49
2002-01-25,Snorlax,16
2002-01-25,Magikarp,28
2002-01-25,Moltres,91
2002-01-25,Ivysaur,9
1988-09-18,Dragonair,49
1988-09-18,Nidoran,4
1988-09-18,Shellder,43
1988-09-18,Golem,70
1988-09-18,Kangaskhan,95
1988-09-18,Persian,35
1988-09-18,Snorlax,55
1988-09-18,Magikarp,63
1988-09-18,Moltres,54
1988-09-18,Ivysaur,14
2019-11-22,Dragonair,37
2019-11-22,Nidoran,3
2019-11-22,Shellder,3
2019-11-22,Golem,97
2019-11-22,Kangaskhan,87
2019-11-22,Persian,12
2019-11-22,Snorlax,12
2019-11-22,Magikarp,9
2019-11-22,Moltres,6
2019-11-22,Ivysaur,25
2009-03-22,Dragonair,14
2009-03-22,Nidoran,87
2009-03-22,Shellder,90
2009-03-22,Golem,22
2009-03-22,Kangaskhan,11
2009-03-22,Persian,96
2009-03-22,Snorlax,13
2009-03-22,Magikarp,9
2009-03-22,Moltres,23
2009-03-22,Ivysaur,64
1970-01-05,Dragonair,67
1970-01-05,Nidoran,32
1970-01-05,Shellder,61
1970-01-05,Golem,60
1970-01-05,Kangaskhan,55
1970-01-05,Persian,30
1970-01-05,Snorlax,6
1970-01-05,Magikarp,61
1970-01-05,Moltres,20
1970-01-05,Ivysaur,74
2000-07-07,Dragonair,60
2000-07-07,Nidoran,38
2000-07-07,Shellder,13
2000-07-07,Golem,46
2000-07-07,Kangaskhan,42
2000-07-07,Persian,35
2000-07-07,Snorlax,78
2000-07-07,Magikarp,68
2000-07-07,Moltres,43
2000-07-07,Ivysaur,32
1983-07-24,Dragonair,81
1983-07-24,Nidoran,92
1983-07-24,Shellder,27
1983-07-24,Golem,91
1983-07-24,Kangaskhan,85
1983-07-24,Persian,21
1983-07-24,Snorlax,44
1983-07-24,Magikarp,4
1983-07-24,Moltres,70
1983-07-24,Ivysaur,32
2005-01-06,Dragonair,83
2005-01-06,Nidoran,3
2005-01-06,Shellder,96
2005-01-06,Golem,9
2005-01-06,Kangaskhan,50
2005-01-06,Persian,66
2005-01-06,Snorlax,94
2005-01-06,Magikarp,80
2005-01-06,Moltres,75
2005-01-06,Ivysaur,57
2007-10-02,Dragonair,62
2007-10-02,Nidoran,87
2007-10-02,Shellder,55
2007-10-02,Golem,86
2007-10-02,Kangaskhan,76
2007-10-02,Persian,23
2007-10-02,Snorlax,71
2007-10-02,Magikarp,58
2007-10-02,Moltres,13
2007-10-02,Ivysaur,36
1979-03-03,Dragonair,19
1979-03-03,Nidoran,32
1979-03-03,Shellder,47
1979-03-03,Golem,18
1979-03-03,Kangaskhan,3
1979-03-03,Persian,45
1979-03-03,Snorlax,14
1979-03-03,Magikarp,30
1979-03-03,Moltres,70
1979-03-03,Ivysaur,86
2000-03-19,Dragonair,17
2000-03-19,Nidoran,3
2000-03-19,Shellder,53
2000-03-19,Golem,99
2000-03-19,Kangaskhan,1
2000-03-19,Persian,69
2000-03-19,Snorlax,22
2000-03-19,Magikarp,38
2000-03-19,Moltres,83
2000-03-19,Ivysaur,59
2016-04-11,Dragonair,32
2016-04-11,Nidoran,25
2016-04-11,Shellder,67
2016-04-11,Golem,5
2016-04-11,Kangaskhan,77
2016-04-11,Persian,33
2016-04-11,Snorlax,63
2016-04-11,Magikarp,13
2016-04-11,Moltres,30
2016-04-11,Ivysaur,36
1987-03-23,Dragonair,51
1987-03-23,Nidoran,75
1987-03-23,Shellder,99
1987-03-23,Golem,1
1987-03-23,Kangaskhan,92
1987-03-23,Persian,69
1987-03-23,Snorlax,73
1987-03-23,Magikarp,74
1987-03-23,Moltres,43
1987-03-23,Ivysaur,0
2017-05-08,Dragonair,99
2017-05-08,Nidoran,55
2017-05-08,Shellder,32
2017-05-08,Golem,6
2017-05-08,Kangaskhan,77
2017-05-08,Persian,51
2017-05-08,Snorlax,95
2017-05-08,Magikarp,70
2017-05-08,Moltres,35
2017-05-08,Ivysaur,46
1984-03-26,Dragonair,58
1984-03-26,Nidoran,41
1984-03-26,Shellder,79
1984-03-26,Golem,13
1984-03-26,Kangaskhan,31
1984-03-26,Persian,94
1984-03-26,Snorlax,74
1984-03-26,Magikarp,90
1984-03-26,Moltres,0
1984-03-26,Ivysaur,18
1998-02-24,Dragonair,6
1998-02-24,Nidoran,77
1998-02-24,Shellder,53
1998-02-24,Golem,73
1998-02-24,Kangaskhan,95
1998-02-24,Persian,1
1998-02-24,Snorlax,15
1998-02-24,Magikarp,43
1998-02-24,Moltres,56
1998-02-24,Ivysaur,23
2012-09-03,Dragonair,94
2012-09-03,Nidoran,4
2012-09-03,Shellder,71
2012-09-03,Golem,13
2012-09-03,Kangaskhan,21
2012-09-03,Persian,95
2012-09-03,Snorlax,99
2012-09-03,Magikarp,79
2012-09-03,Moltres,57
2012-09-03,Ivysaur,3
2010-07-27,Dragonair,38
2010-07-27,Nidoran,79
2010-07-27,Shellder,64
2010-07-27,Golem,34
2010-07-27,Kangaskhan,26
2010-07-27,Persian,58
2010-07-27,Snorlax,34
2010-07-27,Magikarp,29
2010-07-27,Moltres,35
2010-07-27,Ivysaur,91
1976-09-11,Dragonair,72
1976-09-11,Nidoran,26
1976-09-11,Shellder,47
1976-09-11,Golem,83
1976-09-11,Kangaskhan,41
1976-09-11,Persian,17
1976-09-11,Snorlax,9
1976-09-11,Magikarp,93
1976-09-11,Moltres,3
1976-09-11,Ivysaur,33
2015-04-14,Dragonair,20
2015-04-14,Nidoran,82
2015-04-14,Shellder,64
2015-04-14,Golem,96
2015-04-14,Kangaskhan,4
2015-04-14,Persian,10
2015-04-14,Snorlax,50
2015-04-14,Magikarp,65
2015-04-14,Moltres,33
2015-04-14,Ivysaur,65
1998-06-01,Dragonair,17
1998-06-01,Nidoran,35
1998-06-01,Shellder,60
1998-06-01,Golem,37
1998-06-01,Kangaskhan,80
1998-06-01,Persian,13
1998-06-01,Snorlax,36
1998-06-01,Magikarp,95
1998-06-01,Moltres,67
1998-06-01,Ivysaur,81
1989-11-05,Dragonair,28
1989-11-05,Nidoran,28
1989-11-05,Shellder,76
1989-11-05,Golem,30
1989-11-05,Kangaskhan,66
1989-11-05,Persian,94
1989-11-05,Snorlax,60
1989-11-05,Magikarp,11
1989-11-05,Moltres,43
1989-11-05,Ivysaur,9
2016-03-11,Dragonair,68
2016-03-11,Nidoran,48
2016-03-11,Shellder,96
2016-03-11,Golem,8
2016-03-11,Kangaskhan,26
2016-03-11,Persian,45
2016-03-11,Snorlax,90
2016-03-11,Magikarp,57
2016-03-11,Moltres,86
2016-03-11,Ivysaur,25
1978-06-23,Dragonair,59
1978-06-23,Nidoran,11
1978-06-23,Shellder,76
1978-06-23,Golem,23
1978-06-23,Kangaskhan,0
1978-06-23,Persian,96
1978-06-23,Snorlax,22
1978-06-23,Magikarp,48
1978-06-23,Moltres,75
1978-06-23,Ivysaur,8
2020-03-15,Dragonair,70
2020-03-15,Nidoran,10
2020-03-15,Shellder,7
2020-03-15,Golem,64
2020-03-15,Kangaskhan,18
2020-03-15,Persian,37
2020-03-15,Snorlax,86
2020-03-15,Magikarp,68
2020-03-15,Moltres,24
2020-03-15,Ivysaur,9
1974-06-30,Dragonair,24
1974-06-30,Nidoran,16
1974-06-30,Shellder,73
1974-06-30,Golem,50
1974-06-30,Kangaskhan,5
1974-06-30,Persian,4
1974-06-30,Snorlax,64
1974-06-30,Magikarp,85
1974-06-30,Moltres,66
1974-06-30,Ivysaur,54
1982-05-22,Dragonair,12
1982-05-22,Nidoran,70
1982-05-22,Shellder,85
1982-05-22,Golem,66
1982-05-22,Kangaskhan,27
1982-05-22,Persian,68
1982-05-22,Snorlax,65
1982-05-22,Magikarp,94
1982-05-22,Moltres,62
1982-05-22,Ivysaur,62
1985-04-01,Dragonair,68
